,Age.ct,Bonus,Density,GroupOne,Insurancescore,Gender_Male,constant
418,29,6,27.01981982,10,0.0907597062595093,False,1.0
461,47,8,114.881582,19,0.105997801314463,True,1.0
484,29,21,190.0515645,14,0.204888425694823,False,1.0
536,27,17,183.8950396,9,0.291364923854971,False,1.0
544,54,9,14.37714238,13,0.0508051894034049,True,1.0
548,20,5,184.4785165,18,0.329460448283208,False,1.0
551,28,14,47.5930722,12,0.114670174067337,True,1.0
586,46,9,124.2334338,11,0.129108527345422,True,1.0
593,23,8,76.98652096,13,0.162149481710601,False,1.0
595,18,6,232.9029787,16,0.363470705396644,True,1.0
597,31,1,29.94861261,18,0.142783856769652,True,1.0
599,49,12,284.2162652,14,0.148653854998157,True,1.0
600,38,4,100.3048589,10,0.104159346901246,True,1.0
604,26,3,222.711392,14,0.269901525088492,True,1.0
608,54,6,251.432848,11,0.0579751639585212,False,1.0
613,25,2,276.9950185,19,0.341220481816975,True,1.0
615,29,21,94.65751646,17,0.169378533866926,True,1.0
630,23,1,68.97630254,15,0.155832840433585,True,1.0
638,51,15,25.83086908,3,0.108197262077991,False,1.0
648,35,6,275.0923407,17,0.156158133199344,True,1.0
649,26,15,248.5121203,11,0.347929092624006,False,1.0
665,51,1,56.11415278,10,0.0823487115577326,True,1.0
703,26,9,107.8170529,4,0.269760595045906,True,1.0
710,20,5,87.83581964,13,0.204898700288854,True,1.0
746,19,5,123.0199289,11,0.227077658331922,True,1.0
750,56,1,185.1345389,9,0.0672070080798856,False,1.0
758,26,14,276.9454965,8,0.347929092624006,True,1.0
768,29,3,207.1446249,19,0.18281849772,True,1.0
810,44,1,76.89987008,8,0.0649573429349929,False,1.0
812,25,6,87.14669097,15,0.166648821703338,True,1.0
816,27,2,21.95355362,13,0.162923322228047,True,1.0
818,36,19,126.1401885,15,0.0916658841712158,False,1.0
832,22,8,251.432848,11,0.362832239176106,False,1.0
835,23,14,123.0199289,6,0.21085447778358,True,1.0
840,32,16,73.85052034,4,0.176270667211361,False,1.0
843,28,12,17.999002,3,0.0838681221975752,True,1.0
844,28,1,102.818883,20,0.191143228820731,True,1.0
846,44,1,180.0831298,10,0.138037469295744,False,1.0
853,42,13,95.69355223,16,0.124275745706404,True,1.0
857,73,2,107.8170529,15,0.182130417998646,False,1.0
864,42,7,27.92054451,17,0.0913321394087738,True,1.0
871,40,10,259.0040603,17,0.134449252881027,False,1.0
877,20,6,114.1467007,12,0.330415014861376,False,1.0
878,22,6,211.8309492,11,0.301560975386176,True,1.0
900,24,8,91.54176264,3,0.151008199800281,False,1.0
905,36,2,63.17028387,18,0.0680046666114919,True,1.0
923,19,6,50.56640552,6,0.15589072140252,True,1.0
925,27,7,137.8873343,6,0.203497551946175,True,1.0
928,25,1,238.240414,7,0.382458665340242,True,1.0
941,52,3,223.3475567,14,0.102499728035098,True,1.0
975,28,9,109.6318854,11,0.16366550487884,True,1.0
976,19,6,156.1042255,5,0.338072940217126,True,1.0
977,30,5,58.81986821,7,0.149108962461668,True,1.0
1009,38,20,149.997808,16,0.115373179297822,False,1.0
1021,29,1,123.969842,17,0.138691655994098,True,1.0
1027,30,14,69.72819603,12,0.0999510260428123,False,1.0
1037,45,17,148.4018477,20,0.115753823399513,True,1.0
1038,28,17,25.26137811,18,0.0999913573872258,True,1.0
1040,64,4,84.06770437,19,0.027854599564963,True,1.0
1055,18,6,32.18545326,12,0.204925064322526,True,1.0
1060,30,12,99.43621052,18,0.132349965183531,False,1.0
1069,19,5,55.29380019,8,0.237920576687198,False,1.0
1091,49,21,291.3194903,10,0.0475927043103422,True,1.0
1102,22,9,120.7793723,8,0.201228656508792,True,1.0
1109,18,6,129.3156084,7,0.250143249275567,True,1.0
1112,26,15,218.9832303,17,0.287865980486897,False,1.0
1116,39,7,113.2248348,7,0.0980163929701005,False,1.0
1121,51,7,295.7970919,12,0.203105685292201,True,1.0
1157,24,6,27.87209298,15,0.130719869941175,False,1.0
1161,28,21,74.57233929,6,0.126444338155794,True,1.0
1172,27,7,275.0923407,12,0.281788985208465,True,1.0
1173,24,12,253.6198858,8,0.231922250780757,True,1.0
1186,46,8,137.8151761,13,0.106004335138206,True,1.0
1197,28,7,270.4632326,14,0.219027882937581,False,1.0
1204,46,3,58.73427627,18,0.0849177121325068,True,1.0
1233,31,21,145.223003,4,0.203819011825146,False,1.0
1236,27,18,63.50810856,4,0.22733547285198,False,1.0
1240,36,5,22.24129416,15,0.0765380379813875,True,1.0
1243,24,10,81.90993935,10,0.175117624203256,True,1.0
1256,18,6,100.3048589,18,0.206832148966589,True,1.0
1299,18,6,129.8552354,11,0.307374147251924,True,1.0
1300,18,6,32.3065089,10,0.138055370589757,False,1.0
1305,31,1,51.32331561,9,0.157785680353091,False,1.0
1315,19,5,73.85052034,7,0.209636830117931,False,1.0
1335,21,8,253.6198858,13,0.384211511120901,False,1.0
1354,44,17,270.7883545,14,0.125046877474509,True,1.0
1363,25,14,68.77710211,14,0.176972010567595,True,1.0
1364,33,20,148.4018477,11,0.120876088293975,False,1.0
1383,36,16,24.03270395,15,0.0582007468726065,True,1.0
1387,26,5,260.3601885,16,0.279144284128791,False,1.0
1402,37,15,136.1308048,12,0.15984561607782,True,1.0
1426,51,19,162.9324677,19,0.11241546897838,True,1.0
1433,21,10,60.07300249,16,0.239073722951372,False,1.0
1440,18,6,201.6569069,8,0.3316870571886,True,1.0
1444,36,11,51.33277755,18,0.117863346571638,False,1.0
1447,38,11,185.1345389,13,0.0988050893402206,False,1.0
1468,21,6,28.95139071,15,0.256609624501244,True,1.0
1469,25,1,276.9454965,13,0.266023121637537,False,1.0
1472,27,3,34.10399662,18,0.158996490615144,False,1.0
1473,30,1,64.12305444,17,0.109990976974883,True,1.0
1479,18,6,30.41139927,9,0.195461267793379,False,1.0
1485,46,1,272.9669948,15,0.1612316843238,True,1.0
1497,19,6,253.6198858,12,0.371154604834933,False,1.0
1506,46,11,123.0199289,7,0.144884833034473,True,1.0
1508,44,5,200.6565503,19,0.135377256728908,True,1.0
1515,31,20,34.81095528,19,0.0737479289444703,True,1.0
1528,21,8,144.998902,15,0.231270074891804,True,1.0
1534,29,5,260.3601885,3,0.207720082088688,True,1.0
1541,68,5,293.5560359,5,0.117545520942243,True,1.0
1548,38,5,83.90453994,15,0.0750816742943362,True,1.0
1568,29,18,38.77083633,3,0.161705252133079,False,1.0
1571,34,5,37.74768396,12,0.0852056903507786,True,1.0
1588,38,11,290.1327193,15,0.175854659687368,False,1.0
1596,21,8,249.7835716,17,0.350717206847206,True,1.0
1603,21,6,66.46782671,1,0.231484205945613,False,1.0
1613,50,4,28.38649426,19,0.0636513436624804,False,1.0
1615,24,6,68.85387998,12,0.161911746574424,True,1.0
1617,54,1,38.06772,15,0.0800413744084494,True,1.0
1622,69,1,71.62174491,11,0.0243431755880592,False,1.0
1623,42,8,189.9730181,9,0.0939672746467219,True,1.0
1634,44,2,256.6405915,17,0.191087804160517,True,1.0
1642,50,17,34.93212226,15,0.0547554035678705,True,1.0
1644,39,18,178.2443114,5,0.145190435294079,True,1.0
1648,23,3,216.4916013,3,0.216435747657946,True,1.0
1662,32,5,94.29603751,7,0.159732276245531,True,1.0
1676,30,12,238.240414,4,0.231693631411408,False,1.0
1682,30,3,291.3194903,8,0.25136847707709,True,1.0
1695,22,10,213.2556548,15,0.326873014523174,True,1.0
1697,20,6,88.29014956,11,0.249901610513165,False,1.0
1711,28,13,112.8034383,11,0.160185568072342,True,1.0
1719,62,2,84.9609991,19,0.054032369202165,True,1.0
1741,47,1,76.98652096,11,0.0934438841948549,True,1.0
1744,50,6,30.62119248,11,0.0524657151946614,True,1.0
1750,28,12,285.6217445,17,0.213182788551924,False,1.0
1752,26,21,50.56640552,17,0.191289099891971,False,1.0
1758,58,10,106.5583041,10,0.109711283839378,True,1.0
1766,32,5,141.0368682,14,0.187682421135155,True,1.0
1772,30,21,223.3475567,17,0.184026552390898,True,1.0
1776,47,2,124.3443471,15,0.126675827224989,True,1.0
1789,24,10,136.1308048,9,0.21085447778358,False,1.0
1795,22,7,35.02446355,9,0.231104466509049,True,1.0
1798,67,1,162.666477,17,0.0936068956473745,True,1.0
1808,33,21,276.3355652,13,0.216001595482313,False,1.0
1824,59,2,200.6565503,19,0.102461373753817,False,1.0
1840,23,20,65.3447011,6,0.134317465538967,True,1.0
1845,27,2,124.2334338,12,0.238138808948933,False,1.0
1850,25,14,282.3344767,7,0.304540040509963,True,1.0
1851,43,7,118.8510133,11,0.121065840908385,True,1.0
1853,47,1,63.53336338,6,0.0726496618512456,True,1.0
1873,69,9,50.40601234,12,0.0782529297415296,True,1.0
1875,56,12,82.67020711,14,0.0711151507503816,True,1.0
1879,25,20,64.12305444,6,0.163281739704632,True,1.0
1884,39,16,84.00797156,4,0.061204954868174,True,1.0
1898,24,12,139.637282,10,0.239185030150203,True,1.0
1916,20,6,205.4307964,7,0.228283828595833,True,1.0
1917,39,6,33.76301929,14,0.0698105236323279,True,1.0
1921,60,2,275.0923407,10,0.0635654674128113,True,1.0
1928,67,4,75.62345843,17,0.0234500973348062,True,1.0
1934,20,6,61.79475865,8,0.221811398495356,True,1.0
1961,30,2,125.1320458,15,0.136367739455855,True,1.0
1969,26,21,23.6720664,4,0.218650484673985,True,1.0
1977,18,6,66.06668352,17,0.251438560197579,False,1.0
2013,47,14,106.5583041,5,0.109443649285643,False,1.0
2014,29,3,190.0515645,8,0.178028458204752,True,1.0
2017,21,7,276.9950185,8,0.330494329380058,True,1.0
2034,28,2,162.9324677,20,0.211724512589582,True,1.0
2046,40,3,62.72127383,16,0.081373676053187,False,1.0
2048,28,5,275.0923407,17,0.184026552390898,True,1.0
2052,43,1,167.9366556,16,0.0967073180585569,False,1.0
2053,42,2,78.33993486,10,0.0933899929682261,False,1.0
2054,27,20,59.92134979,7,0.183568458268615,True,1.0
2058,36,12,222.2151274,15,0.0989391580085323,True,1.0
2083,27,7,210.189841,15,0.365693796059186,True,1.0
2113,28,1,59.8409496,15,0.177654194652522,True,1.0
2115,52,3,169.5291484,9,0.0853847148712895,True,1.0
2122,31,10,259.0040603,6,0.235945254988379,True,1.0
2123,32,10,68.85387998,9,0.132944206871023,True,1.0
2137,41,6,201.6569069,14,0.147314489753481,False,1.0
2139,33,6,260.3601885,7,0.201363552520193,True,1.0
2141,44,14,189.9730181,10,0.1125586148345,False,1.0
2156,47,11,239.4551701,1,0.160713250934123,True,1.0
2165,37,6,190.0515645,16,0.118647433179827,True,1.0
2169,22,7,212.4247054,16,0.317670942498444,False,1.0
2172,36,1,125.1320458,9,0.0895819693127209,True,1.0
2177,28,10,84.22903844,8,0.125206537337744,True,1.0
2200,43,11,222.2151274,5,0.115753823399513,True,1.0
2217,28,17,249.8117276,17,0.21975180454555,True,1.0
2219,42,4,71.66099406,10,0.0778161047960042,False,1.0
2224,29,6,270.874006,7,0.207720082088688,True,1.0
2226,35,11,29.94861261,19,0.0647609740145131,True,1.0
2231,33,6,270.7883545,17,0.129061268742428,True,1.0
2234,27,5,149.997808,6,0.23686636408174,True,1.0
2241,40,5,88.29014956,20,0.0765900614614488,False,1.0
2242,30,18,24.84670738,20,0.095704639480453,True,1.0
2252,24,3,148.9956325,6,0.312232501034298,True,1.0
2255,29,10,73.18307109,11,0.143184934474718,False,1.0
2257,37,8,112.8034383,9,0.0618437404834231,True,1.0
2263,55,2,212.4247054,11,0.0974730293066795,True,1.0
2266,48,14,78.33993486,17,0.0758569420659795,True,1.0
2279,28,3,33.26093405,9,0.142983534997796,True,1.0
2286,20,4,61.11231366,10,0.20752647295344,True,1.0
2300,20,9,169.5291484,6,0.241294205341142,False,1.0
2317,28,6,284.2162652,18,0.211558561719721,True,1.0
2324,28,11,222.6929824,1,0.235103285747416,True,1.0
2326,35,19,284.1301175,7,0.115441732680244,True,1.0
2330,39,1,211.8309492,11,0.115373179297822,True,1.0
2335,20,6,237.675525,4,0.275506318349208,True,1.0
2339,58,11,139.637282,7,0.13028494931453,True,1.0
2342,25,4,259.0040603,9,0.279144284128791,False,1.0
2344,32,8,240.0004036,10,0.165710270224337,False,1.0
2345,21,4,65.2951547,8,0.305484934405145,True,1.0
2381,18,6,223.3475567,12,0.372948726282826,True,1.0
2384,30,4,282.3344767,6,0.200185499293686,True,1.0
2392,21,12,270.7883545,3,0.374421677587476,True,1.0
2427,31,16,202.5335882,12,0.198199368468985,True,1.0
2434,18,6,61.69063654,3,0.241524088535391,True,1.0
2438,41,1,20.3350899,2,0.0779857179793808,True,1.0
2443,18,6,149.997808,9,0.27943417342566,True,1.0
2458,27,7,128.5434648,14,0.232311373625919,True,1.0
2470,36,1,138.5066713,6,0.0865997054064817,True,1.0
2475,26,14,202.5335882,3,0.244691824182745,True,1.0
2492,55,13,171.3729361,11,0.106475798953896,True,1.0
2499,54,1,222.6929824,10,0.100161174598374,False,1.0
2506,22,6,190.0515645,13,0.409171422607678,True,1.0
2512,19,8,189.9730181,9,0.326873014523174,True,1.0
2533,31,13,64.12305444,8,0.0965245409273644,False,1.0
2547,29,10,148.5612071,15,0.222119480017854,True,1.0
2548,40,1,141.0368682,11,0.183159327569802,True,1.0
2556,41,8,206.2302755,11,0.103015381728898,True,1.0
2562,36,1,91.55064058,8,0.0629769362944803,False,1.0
2567,18,6,222.735365,10,0.345359863171035,True,1.0
2569,36,1,207.1446249,17,0.0916658841712158,False,1.0
2570,43,13,293.5560359,17,0.116101652319776,True,1.0
2571,50,3,109.6318854,15,0.0860103199850436,True,1.0
2583,27,6,201.6569069,15,0.221366386578293,False,1.0
2601,29,5,258.9237292,12,0.266321320959268,True,1.0
2602,61,8,251.432848,7,0.0463815568472044,True,1.0
2606,44,6,272.9669948,10,0.157009493093001,False,1.0
2620,31,19,185.1345389,18,0.165241603284355,False,1.0
2622,26,4,129.8552354,9,0.248364468904857,False,1.0
2626,26,3,88.95152383,17,0.188992335287577,False,1.0
2635,19,6,118.8510133,11,0.271901375037322,False,1.0
2642,24,6,259.0040603,15,0.269901525088492,True,1.0
2663,57,1,259.0040603,4,0.169707803089139,False,1.0
2683,50,4,238.240414,14,0.148653854998157,True,1.0
2687,43,16,58.60474559,3,0.102654292177629,False,1.0
2703,43,11,149.997808,8,0.115753823399513,True,1.0
2738,52,1,15.70531045,15,0.0632609608128574,True,1.0
2744,20,12,284.1301175,10,0.265720650896818,False,1.0
2750,18,6,222.711392,10,0.348028907946898,True,1.0
2760,54,2,71.66099406,13,0.0617616393012875,True,1.0
2776,27,9,211.8309492,11,0.214652901646984,True,1.0
2779,35,1,169.5291484,14,0.0946892605716619,True,1.0
2808,51,17,237.675525,11,0.104410867973784,True,1.0
2809,48,14,25.14133101,7,0.0557424541295904,True,1.0
2845,25,2,222.735365,14,0.187461067143193,True,1.0
2849,23,7,202.5335882,14,0.193424564620328,True,1.0
2861,23,6,133.2886429,8,0.230972986069918,True,1.0
2862,29,9,63.17028387,16,0.119247074318443,True,1.0
2874,58,7,66.11361207,10,0.0643886802913494,True,1.0
2897,45,13,222.6929824,17,0.171192628552218,False,1.0
2898,43,5,272.9669948,20,0.11408795461926,True,1.0
2901,40,7,290.1327193,12,0.143946670417612,True,1.0
2907,27,7,66.12046108,14,0.17450785376837,True,1.0
2917,53,16,234.675271,16,0.172512046122854,False,1.0
2924,22,5,39.55041059,18,0.174197069473457,True,1.0
2928,43,8,290.1327193,7,0.17643372627028,False,1.0
2929,60,12,88.29014956,12,0.0656890473964711,True,1.0
2933,38,12,26.41407409,16,0.0650021604755766,True,1.0
2939,37,21,33.27619903,15,0.0914570970834527,True,1.0
2946,41,14,212.4247054,11,0.0970584460407554,False,1.0
2948,23,16,58.91132801,19,0.179322406273313,True,1.0
2950,32,9,293.5560359,8,0.241049427673659,True,1.0
2955,42,10,58.59040352,8,0.0632936586689545,False,1.0
2956,44,5,25.26137811,13,0.063082133087952,True,1.0
2958,43,1,50.6257826,10,0.110235977405097,False,1.0
2967,24,21,272.9669948,15,0.256804701396555,True,1.0
2971,20,5,79.1594481,12,0.252343106074694,False,1.0
2975,22,6,258.9237292,20,0.394239674250884,False,1.0
2978,34,16,276.9454965,15,0.151121921882882,True,1.0
3003,26,9,166.5549379,8,0.259281344054083,True,1.0
3014,41,11,23.6720664,8,0.0657115125010442,False,1.0
3035,39,6,139.637282,19,0.0970584460407554,False,1.0
3037,32,7,183.8950396,12,0.190715453208808,True,1.0
3039,31,17,141.4896565,18,0.135099165470985,True,1.0
3043,42,8,253.6198858,15,0.107824719928815,True,1.0
3051,47,20,98.10372854,16,0.0422721609930201,True,1.0
3057,26,3,248.5121203,2,0.323639009631732,True,1.0
3060,60,12,30.5989837,16,0.0596563999122803,False,1.0
3071,18,6,65.78489891,19,0.221748501984344,True,1.0
3077,20,8,64.30270938,17,0.188785315495209,True,1.0
3078,57,20,171.3729361,12,0.105878527466972,True,1.0
3085,29,6,202.5335882,7,0.203954262445489,False,1.0
3087,38,3,110.9836779,16,0.128934270810097,True,1.0
3101,34,9,88.95152383,19,0.13601150081192,True,1.0
3109,21,8,276.9454965,13,0.367415520960752,True,1.0
3110,27,3,20.3350899,9,0.12691984711487,True,1.0
3120,29,20,169.7885554,10,0.18281849772,False,1.0
3121,24,9,285.6217445,13,0.217229849674702,True,1.0
3137,24,4,25.91743539,11,0.14631475170809,True,1.0
3145,36,5,33.65195213,5,0.13601150081192,True,1.0
3149,46,19,222.735365,14,0.119912572133929,False,1.0
3172,49,20,57.06267756,8,0.0738504341872824,True,1.0
3183,18,6,81.90993935,13,0.259154032368935,True,1.0
3184,39,8,148.9956325,10,0.125408131345189,False,1.0
3187,32,10,153.4523215,8,0.20007099624783,False,1.0
3188,40,20,32.15775954,13,0.0541294580002397,False,1.0
3208,52,15,211.8309492,9,0.109721247763357,True,1.0
3211,41,19,84.06770437,14,0.0662375394507175,True,1.0
3212,28,13,34.81095528,20,0.100240072841243,True,1.0
3233,28,1,201.6569069,1,0.209598712621101,True,1.0
3236,31,15,24.32094795,2,0.11510001129141,True,1.0
3277,35,1,106.5583041,8,0.0821583094296718,True,1.0
3283,52,1,106.5583041,15,0.133714560392644,True,1.0
3297,18,6,32.15775954,15,0.183611260220901,False,1.0
3300,28,4,48.3306937,10,0.107803667721718,True,1.0
3310,20,8,48.3306937,14,0.168279104823821,True,1.0
3314,55,19,14.37714238,17,0.057299910728933,True,1.0
3325,35,2,139.6062055,18,0.166502654697673,False,1.0
3328,25,9,114.1413271,7,0.236103123086261,True,1.0
3329,57,3,139.2056697,15,0.079598752129651,False,1.0
3330,44,4,63.15287215,3,0.0702753716489712,False,1.0
3331,61,2,249.8117276,13,0.152810033589057,False,1.0
3337,35,5,169.5291484,13,0.125964369509951,True,1.0
3343,25,2,293.5560359,13,0.31158796478207,True,1.0
3344,25,6,275.2822626,3,0.323639009631732,True,1.0
3353,33,5,129.4194752,13,0.134080606434948,False,1.0
3359,23,7,107.8170529,10,0.346868928087408,True,1.0
3386,23,9,99.17167477,15,0.191244467114649,True,1.0
3392,33,2,189.9730181,10,0.0963978202505113,False,1.0
3397,18,6,272.9669948,6,0.307022298024047,True,1.0
3400,20,6,282.3344767,9,0.420156496928258,False,1.0
3409,37,7,207.1446249,7,0.108408725089162,True,1.0
3428,30,8,33.67123926,15,0.101792257230165,True,1.0
3436,32,19,190.0515645,10,0.180511072259399,False,1.0
3442,34,8,222.711392,2,0.15405436015076,False,1.0
3448,35,16,26.55546013,18,0.0762932843835628,False,1.0
3454,25,4,168.6499611,13,0.184904435281594,False,1.0
3458,22,3,260.3601885,14,0.325872314080447,True,1.0
3484,33,9,295.7970919,16,0.172365167049645,True,1.0
3490,47,3,171.3729361,5,0.10684969295654,True,1.0
3491,18,6,67.42478707,13,0.251438560197579,True,1.0
3496,25,12,31.60580864,10,0.131050554338709,True,1.0
3499,44,2,63.89430992,12,0.0702753716489712,False,1.0
3520,36,11,34.81095528,12,0.0443340763533139,True,1.0
3535,21,9,236.3993842,4,0.330494329380058,True,1.0
3560,36,7,94.36462339,16,0.112274362416656,True,1.0
3562,22,9,236.3993842,6,0.371154604834933,True,1.0
3569,44,8,32.26996388,13,0.056761409754723,True,1.0
3600,61,1,31.06929242,16,0.0832981740941887,True,1.0
3613,23,6,129.8552354,14,0.299562629374705,True,1.0
3616,37,18,200.6565503,1,0.125092058013446,True,1.0
3622,33,13,106.5583041,9,0.136471593457475,True,1.0
3625,46,2,248.5121203,12,0.11408795461926,True,1.0
3633,32,3,213.2556548,12,0.22111738465382,False,1.0
3646,36,7,141.4896565,17,0.107195196566557,True,1.0
3653,46,17,103.4727356,15,0.184351932445751,False,1.0
3657,21,10,31.60978775,15,0.183924004834408,True,1.0
3671,22,7,32.26996388,8,0.182669758257392,True,1.0
3674,20,4,93.38235115,9,0.241857628690539,True,1.0
3676,25,7,201.3918071,16,0.285734570954199,True,1.0
3689,46,4,168.6499611,18,0.136236458267034,True,1.0
3692,21,4,57.7002938,10,0.249326390155865,True,1.0
3699,31,5,148.5612071,18,0.122955729535017,True,1.0
3737,41,2,225.0430894,10,0.152492934220942,True,1.0
3741,28,12,58.73427627,12,0.116703605669683,True,1.0
3745,21,6,58.81986821,14,0.168279104823821,True,1.0
3751,20,7,253.6198858,11,0.398386400882434,False,1.0
3755,30,3,148.9956325,7,0.203254138949987,True,1.0
3758,27,9,41.2451199,16,0.133327978588343,True,1.0
3760,49,5,178.2443114,17,0.172008741504184,False,1.0
3763,22,9,25.28528423,11,0.149890203235429,True,1.0
3766,56,9,182.367931,14,0.114712121872865,True,1.0
3767,48,12,168.6499611,8,0.138406045830573,False,1.0
3769,42,4,45.66982293,18,0.0775133066866169,False,1.0
3775,28,9,54.19066433,19,0.0898276573141644,True,1.0
3792,38,4,234.675271,12,0.116216083211942,True,1.0
3793,24,5,32.3905212,13,0.151543435204622,False,1.0
3796,19,5,225.1417422,15,0.394239674250884,True,1.0
3798,44,2,94.65751646,15,0.0787746524854229,False,1.0
3803,42,20,128.5434648,11,0.121535592935109,False,1.0
3837,23,8,38.35953437,7,0.165035153279231,True,1.0
3839,54,1,31.60978775,20,0.0835997051887426,True,1.0
3840,23,5,213.2556548,19,0.183872855645633,True,1.0
3842,23,8,184.4785165,11,0.364609768535435,False,1.0
3846,21,6,148.5612071,12,0.301131592217092,False,1.0
3848,32,11,213.2556548,7,0.170236889051835,False,1.0
3851,75,3,290.1327193,19,0.133649204442054,True,1.0
3856,40,17,149.997808,9,0.104232669018525,True,1.0
3862,19,6,250.8413259,7,0.265720650896818,True,1.0
3864,31,5,94.36462339,3,0.172438158126772,False,1.0
3882,27,8,284.1301175,10,0.269901525088492,True,1.0
3897,21,5,174.6445246,12,0.322826125156748,False,1.0
3900,43,3,282.3344767,15,0.139620739635226,False,1.0
3947,52,2,295.7970919,14,0.102499728035098,True,1.0
3950,30,2,156.1042255,9,0.218951062046441,True,1.0
3970,37,11,64.53563007,17,0.0713342505594698,True,1.0
3973,56,13,58.59040352,3,0.027038941482642,False,1.0
3978,23,10,57.32800859,6,0.22733547285198,True,1.0
3979,38,15,59.63322296,10,0.0980881223536408,True,1.0
3985,22,6,276.3355652,17,0.386030003358355,True,1.0
3990,35,2,236.3993842,5,0.198202652591475,True,1.0
3993,56,2,238.240414,11,0.143667651051137,False,1.0
4014,26,3,270.7883545,17,0.347929092624006,True,1.0
4016,64,3,178.2443114,13,0.119888602087444,False,1.0
4025,29,21,148.3685156,20,0.153190220473807,False,1.0
4030,22,6,34.88186234,11,0.231104466509049,False,1.0
4035,56,16,201.6569069,3,0.156603966224672,True,1.0
4047,33,19,183.8950396,11,0.180992668418661,False,1.0
4059,48,9,99.28308074,18,0.184692153838609,True,1.0
4078,26,4,295.7970919,15,0.249873209473729,True,1.0
4080,18,6,133.2886429,11,0.28892664088669,True,1.0
4083,35,6,270.874006,6,0.143985248440219,True,1.0
4088,18,6,293.5560359,13,0.307022298024047,True,1.0
4093,46,10,24.01754355,11,0.0801415736925955,False,1.0
4098,33,10,102.818883,17,0.127760450846546,False,1.0
4121,45,16,36.9071711,6,0.0807792053646359,False,1.0
4142,34,16,90.21472555,14,0.0667621668344735,True,1.0
4148,37,16,31.48099884,13,0.0713973800471184,True,1.0
4149,45,17,33.73278519,10,0.0925144019818879,True,1.0
4151,37,5,59.63322296,19,0.0655935413122647,False,1.0
4156,57,10,186.6850127,15,0.118534401923873,True,1.0
4157,44,11,46.84863153,19,0.0655403346758443,True,1.0
4163,22,3,182.367931,3,0.287260811696272,False,1.0
4166,29,10,114.881582,4,0.130727677348787,True,1.0
4179,46,3,66.12046108,19,0.10867119800671,False,1.0
4185,39,17,270.4632326,14,0.167394535148238,True,1.0
4199,27,20,124.3443471,11,0.239185030150203,True,1.0
4208,61,10,112.4047945,7,0.0320606702251895,False,1.0
4226,46,9,153.4523215,14,0.121107791030258,True,1.0
4245,20,6,166.5549379,16,0.27943417342566,True,1.0
4254,29,4,94.29603751,20,0.181797404569096,True,1.0
